y_true,y_pred,y_prob
0,0,0.0012928765499964356
0,0,0.0008043648558668792
0,0,0.013171999715268612
0,0,0.00413039093837142
0,0,4.771248859469779e-05
0,0,1.7296128135058098e-05
0,0,0.46778392791748047
0,0,4.7711942897876725e-05
0,0,0.0016019943868741393
0,0,4.771262319991365e-05
0,0,0.022124752402305603
0,0,4.771207386511378e-05
0,0,0.03639319911599159
0,0,4.771221210830845e-05
1,1,1.0
0,0,4.771198655362241e-05
0,0,0.3749939799308777
0,0,4.7713081585243344e-05
1,1,0.9489850997924805
0,0,1.703914131212514e-05
0,0,1.6921156202442944e-05
1,1,0.8788183927536011
0,0,0.012177297845482826
0,0,4.771153180627152e-05
0,0,0.020387781783938408
0,0,0.0012627640971913934
0,0,1.678622720646672e-05
0,0,1.680738751019817e-05
0,0,0.0007230120827443898
1,1,0.9326527714729309
0,0,1.6805881386972032e-05
0,0,4.771189924213104e-05
0,0,0.0017919043311849236
0,0,0.01811816729605198
0,0,0.03951641172170639
0,0,4.770884697791189e-05
0,0,4.77136236440856e-05
0,0,1.6779777070041746e-05
0,0,0.0019363582832738757
0,0,0.002266148803755641
0,0,0.0019183799158781767
1,1,0.8819640874862671
1,1,0.9081379175186157
0,0,0.06544352322816849
0,0,1.680145760474261e-05
0,0,0.00010157170618185773
0,0,0.001781935803592205
1,1,0.9598512053489685
0,0,0.0002111268840963021
0,0,0.13978813588619232
0,0,0.17217464745044708
0,0,1.6888832760741934e-05
0,0,0.0008453166228719056
0,0,1.679456909187138e-05
0,0,4.771189924213104e-05
0,0,4.771221210830845e-05
0,0,0.004927757196128368
0,0,0.00021107355132699013
0,0,0.00022238052042666823
0,0,4.7712030209368095e-05
0,0,0.37464475631713867
0,0,1.6788517314125784e-05
0,0,4.7712666855659336e-05
0,0,4.7711804654682055e-05
0,0,0.00035240972647443414
1,1,0.949637234210968
1,0,0.37418216466903687
0,0,0.00011688322410918772
0,0,4.7711440856801346e-05
0,0,0.000399502256186679
0,0,4.771221210830845e-05
1,1,0.9622739553451538
0,0,4.77116227557417e-05
0,0,0.00024365761782974005
0,0,0.0002164338220609352
0,0,0.006969403475522995
1,1,0.9210523962974548
0,0,0.06743797659873962
0,0,0.024988753721117973
0,0,0.00012733119365293533
0,0,0.0002116672694683075
0,0,4.771367093781009e-05
0,0,4.7713394451420754e-05
1,1,0.9866077899932861
0,0,4.7712306695757434e-05
1,1,0.6453560590744019
0,0,0.005876676645129919
1,1,0.7855002284049988
0,0,0.0007733023958280683
0,0,1.6793528629932553e-05
0,0,0.0016054346924647689
0,0,0.00022617436479777098
0,0,4.7712666855659336e-05
0,0,1.6772497474448755e-05
0,0,1.6915702872211114e-05
0,0,0.0018802393460646272
0,0,0.016865039244294167
0,0,0.003134092316031456
0,0,0.0004237045650370419
0,0,0.31123387813568115
0,0,4.7713805543025956e-05
0,0,0.016228072345256805
0,0,1.7216525520780124e-05
0,0,4.771212479681708e-05
0,0,0.00026046865968964994
0,0,0.003907324280589819
0,0,4.771171370521188e-05
0,0,0.2482505589723587
0,0,0.020574606955051422
0,0,2.5895642465911806e-05
0,0,4.7711942897876725e-05
0,0,4.771189924213104e-05
0,0,0.39011529088020325
0,0,2.399134245933965e-05
1,1,0.968203067779541
0,0,0.006096042692661285
0,0,2.147200211766176e-05
0,0,4.7711579099996015e-05
0,0,9.77486779447645e-05
0,1,0.5244553685188293
1,1,0.9234944581985474
0,0,0.025415275245904922
0,0,0.000639676523860544
0,0,0.007026003208011389
0,0,0.0019199426751583815
0,0,2.0249992303433828e-05
1,1,0.9746617674827576
0,0,0.0028417932335287333
0,0,0.006082331761717796
0,0,4.7711942897876725e-05
0,0,1.6932406651903875e-05
0,0,0.001772294519469142
0,0,0.03232297673821449
0,0,0.0015647619729861617
0,0,4.7713394451420754e-05
0,0,4.77136236440856e-05
0,0,4.77132634841837e-05
0,0,0.00032438142807222903
0,0,1.6863306882441975e-05
0,0,4.7709076170576736e-05
0,0,0.00037480759783647954
0,0,0.050185054540634155
0,0,9.674531611381099e-05
0,0,0.0001485517859691754
0,0,1.9558274289011024e-05
1,1,0.9536738991737366
0,0,0.008730161003768444
1,1,0.844293475151062
0,0,0.0002820184745360166
0,0,0.060802191495895386
0,0,4.771421299665235e-05
1,1,0.9999147653579712
1,1,0.9856987595558167
0,0,0.03987215831875801
0,0,0.048856738954782486
0,0,4.7712030209368095e-05
0,0,4.771376188728027e-05
0,0,4.771148451254703e-05
0,0,0.0017807319527491927
1,1,0.7286883592605591
0,0,0.0008382133673876524
1,1,0.8864427208900452
0,0,0.03167705237865448
1,1,0.9002566933631897
0,0,8.899780368665233e-05
0,0,4.7711579099996015e-05
0,0,0.0052009583450853825
0,0,0.013732654973864555
0,0,4.7713805543025956e-05
0,0,4.771248859469779e-05
0,0,4.7712306695757434e-05
0,0,4.7713532694615424e-05
1,1,0.962668240070343
0,0,4.770884697791189e-05
1,1,0.9999837875366211
0,0,1.688633710728027e-05
0,0,4.771189924213104e-05
0,0,0.0013570641167461872
1,1,0.9391218423843384
0,0,1.9182058167643845e-05
0,0,0.0008078641840256751
0,0,0.001577704562805593
0,0,4.771176099893637e-05
0,0,0.2975560128688812
0,0,1.6782736565801315e-05
0,0,1.678994158282876e-05
0,0,4.7709028876852244e-05
0,0,4.771262319991365e-05
0,0,0.010289952158927917
0,0,1.6894889995455742e-05
0,0,4.771198655362241e-05
0,0,1.6849820895004086e-05
0,0,0.0002695028088055551
0,0,4.771171370521188e-05
0,0,0.0011051007313653827
1,1,0.6127312183380127
0,0,0.0027682355139404535
1,1,0.9896429777145386
0,0,1.80485840246547e-05
0,0,4.7713307139929384e-05
0,0,4.7712030209368095e-05
0,0,1.7511540136183612e-05
0,0,4.7712030209368095e-05
0,0,0.0017852257005870342
0,0,0.0104674706235528
0,0,0.001543260645121336
0,0,4.7712579544167966e-05
0,0,0.0001326644269283861
0,0,1.688946213107556e-05
0,0,4.771176099893637e-05
0,0,0.12129369378089905
0,0,0.0018639456247910857
0,0,1.9550814613467082e-05
0,0,0.00538999168202281
0,0,4.771371459355578e-05
0,0,4.7712030209368095e-05
0,0,0.0026098336093127728
0,0,4.7711393563076854e-05
0,0,4.771184831042774e-05
0,0,0.0014636568957939744
0,0,0.0007984659168869257
0,0,0.000524921459145844
0,0,0.1294526606798172
0,0,4.77116227557417e-05
0,0,4.771189924213104e-05
0,0,0.011384602636098862
0,0,4.771207386511378e-05
0,0,0.009889054112136364
0,0,4.7711393563076854e-05
0,0,0.0021715869661420584
0,0,4.771112435264513e-05
0,0,0.00358758051879704
0,0,0.0014381523942574859
0,0,4.771189924213104e-05
0,0,1.911520303110592e-05
0,0,0.003945337608456612
0,0,4.7711666411487386e-05
0,0,0.0131150484085083
0,0,0.10274677723646164
1,1,0.9808118343353271
0,0,4.771171370521188e-05
0,0,4.771221210830845e-05
0,0,0.0015569815877825022
0,0,0.03267032280564308
0,0,0.04192548617720604
0,0,4.7712943342048675e-05
0,0,0.00616061594337225
1,1,1.0
0,0,0.05567029118537903
0,0,0.004032307304441929
0,0,0.01333210151642561
0,0,4.771221210830845e-05
0,0,4.771184831042774e-05
0,0,0.060197312384843826
0,0,0.01326137688010931
0,0,4.7712805098854005e-05
0,0,4.7711804654682055e-05
0,0,1.6780881196609698e-05
1,1,0.9990782737731934
0,0,0.0006879868451505899
0,0,1.688636803010013e-05
0,0,4.7713441745145246e-05
1,1,0.9855663776397705
0,0,0.003950818441808224
0,0,1.6820134987938218e-05
1,1,0.9492733478546143
0,0,1.69339582498651e-05
0,0,0.00019324339518789202
0,0,1.680134482739959e-05
0,0,0.019731532782316208
0,0,4.7712579544167966e-05
0,0,4.771212479681708e-05
0,0,4.771221210830845e-05
0,0,1.931525366671849e-05
0,0,0.08629205822944641
0,0,4.771289968630299e-05
0,0,0.013324652798473835
0,0,0.1856871098279953
0,0,4.771284875459969e-05
0,0,1.6957341358647682e-05
0,0,4.771212479681708e-05
0,0,1.7251139070140198e-05
0,0,4.7713943786220625e-05
0,0,0.011059151031076908
0,0,4.771276144310832e-05
0,0,0.0006241561495698988
0,0,1.7112943169195205e-05
0,0,0.053355563431978226
0,0,0.0026162161957472563
1,1,0.9477908611297607
0,0,4.7713081585243344e-05
0,0,4.7713441745145246e-05
0,0,1.6920188500080258e-05
0,0,4.7712030209368095e-05
0,0,1.7012966054608114e-05
0,0,0.45785796642303467
0,0,4.7711393563076854e-05
0,0,0.00021211092825978994
0,0,0.00021660930360667408
1,1,0.97923344373703
0,0,4.771153180627152e-05
0,0,0.00023315162979997694
0,0,0.0019006477668881416
0,0,4.771248859469779e-05
0,0,4.7712666855659336e-05
0,0,4.7714031097711995e-05
0,0,4.771276144310832e-05
0,0,0.0015436470275744796
0,0,0.00024370942264795303
0,0,1.6784706531325355e-05
0,0,0.0035635398235172033
1,1,0.9997958540916443
0,0,4.771276144310832e-05
0,0,4.771176099893637e-05
0,0,4.771176099893637e-05
0,0,0.0001224437728524208
0,0,0.2704145014286041
0,0,0.23293036222457886
0,0,1.697570587566588e-05
0,0,0.00012018494453513995
1,1,0.9990532994270325
0,0,0.0009598369360901415
0,0,0.0006786365993320942
0,0,0.01349986344575882
0,0,1.6880281691555865e-05
0,0,0.3258843421936035
0,1,0.9326392412185669
0,0,4.7711666411487386e-05
0,0,0.0002216094289906323
0,0,1.9613225958892144e-05
0,0,0.05991961434483528
0,0,4.7711393563076854e-05
1,1,0.977033793926239
0,0,4.771248859469779e-05
0,0,0.03412921726703644
0,0,0.0012528933584690094
0,0,0.0008352103759534657
0,0,4.7712030209368095e-05
0,0,4.770884697791189e-05
0,0,4.7711804654682055e-05
0,0,0.00012557473382912576
0,0,4.7711302613606676e-05
0,0,4.77116227557417e-05
0,0,4.7711804654682055e-05
0,0,4.7712805098854005e-05
0,0,1.8641592760104686e-05
0,0,0.010706973262131214
1,1,0.9999678134918213
0,0,0.16382592916488647
0,0,0.024207981303334236
0,0,0.017492035403847694
0,0,0.002276366576552391
0,0,0.0023214886896312237
0,0,0.1775633692741394
0,0,0.00039580019074492157
0,0,1.6856298316270113e-05
0,0,1.688078191364184e-05
0,0,1.677942600508686e-05
0,0,8.930648618843406e-05
0,0,0.010128590278327465
0,0,4.771153180627152e-05
0,0,4.7711804654682055e-05
0,0,4.7714580432511866e-05
0,0,0.00021167777595110238
0,0,1.6895164662855677e-05
0,0,0.0006867537158541381
0,0,0.009669900871813297
1,1,0.98459792137146
0,0,0.015539648942649364
0,0,4.771271414938383e-05
0,0,0.3156708776950836
0,0,0.49937230348587036
0,0,0.1265786588191986
0,0,4.7712666855659336e-05
1,1,0.9999994039535522
0,0,6.943789776414633e-05
1,1,0.9995703101158142
0,0,0.07904328405857086
0,0,0.0019193405751138926
0,0,4.7711393563076854e-05
0,0,4.7712030209368095e-05
0,0,4.7711666411487386e-05
0,0,4.771184831042774e-05
0,0,0.005071202293038368
0,0,0.02582539990544319
0,0,4.7714031097711995e-05
0,0,1.7053966075764038e-05
0,0,0.001982571557164192
0,0,4.771198655362241e-05
0,0,8.568132761865854e-05
0,0,0.0009066819329746068
0,0,0.002093730727210641
1,1,0.986947774887085
1,1,0.9648662805557251
1,1,0.7085508704185486
